id,quelle,betreiber,ladeeinr_art,plz_ort,adresse,ladeart,bemerkungen,anschlussltg_kw,steckertyp_1,p1_kw,steckertyp_2,p2_kw,steckertyp_3,p3_kw,steckertyp_4,p4_kw,inbetrieb_am,x_wert,y_wert
836,bnetza,Allego GmbH,Normalladeeinrichtung,12203 Berlin,Moltkestraße 51,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2015-09-16T00:00:00,384920.28400495916,5812103.1429279167
837,bnetza,Allego GmbH,Normalladeeinrichtung,12203 Berlin,Unter den Eichen 102,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2018-05-07T00:00:00,384261.05449875956,5812131.1006967714
838,bnetza,Allego GmbH,Normalladeeinrichtung,12207 Berlin,Ahlener Weg 10,"","",11,AC Steckdose Typ 2,11,"","","","","","",2018-03-27T00:00:00,384711.575293357,5807999.4793493235
839,bnetza,Allego GmbH,Normalladeeinrichtung,12207 Berlin,Ahlener Weg 10,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2018-03-27T00:00:00,384711.575293357,5807999.4793493235
840,bnetza,Allego GmbH,Normalladeeinrichtung,12207 Berlin,Giesensdorfer Str,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2018-01-30T00:00:00,385360.14471754018,5809917.8983399542
841,bnetza,Allego GmbH,Normalladeeinrichtung,12207 Berlin,Giesensdorfer Str,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2018-01-30T00:00:00,385360.14471754018,5809917.8983399542
842,bnetza,Allego GmbH,Normalladeeinrichtung,12207 Berlin,Jungfernstieg 25c,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2018-04-12T00:00:00,386235.13895381265,5810167.7463931888
843,bnetza,Allego GmbH,Normalladeeinrichtung,12207 Berlin,Morgensternstraße 7,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2018-07-03T00:00:00,385869.22422285634,5809855.86095724
844,bnetza,Allego GmbH,Normalladeeinrichtung,12207 Berlin,Promenadenstraße 15c,"","",3.7,AC Steckdose Typ 2,4,"","","","","","",2018-05-07T00:00:00,386159.02585306333,5810417.3267226629
845,bnetza,Allego GmbH,Normalladeeinrichtung,12249 Berlin,Friedrichrodaer Str. 66,"","",22,AC Steckdose Typ 2,11,AC Steckdose Typ 2,11,"","","","",2018-06-21T00:00:00,388902.26936432195,5809612.8712462652
